iter	Passed	Remaining
470	666	749
471	667	747
472	669	745
473	670	743
474	671	741
475	671	739
476	672	737
477	673	735
478	673	733
479	674	731
480	676	730
481	678	728
482	679	727
483	681	726
484	683	725
485	684	724
486	686	722
487	688	721
488	689	720
489	691	719
490	692	718
491	694	716
492	696	715
493	697	714
494	699	713
495	701	712
496	703	711
497	705	710
498	706	709
499	708	708
500	709	706
501	711	705
502	712	703
503	713	702
504	715	701
505	730	713
506	733	713
507	736	712
508	738	712
509	740	711
510	742	710
511	743	709
512	745	708
513	747	706
514	749	705
515	751	704
516	752	703
517	754	702
518	755	700
519	757	699
520	758	697
521	760	696
522	762	695
523	764	694
524	765	692
525	767	691
526	769	690
527	770	688
528	772	687
529	773	686
530	775	684
531	777	683
532	779	682
533	781	681
534	782	680
535	784	678
536	785	677
537	786	675
538	788	674
539	790	673
540	791	671
541	793	670
542	795	669
543	796	667
544	798	666
545	799	665
546	801	663
547	803	662
548	804	661
549	806	660
550	808	659
551	810	657
552	811	656
553	813	654
554	814	653
555	816	652
556	818	650
557	819	649
558	820	647
559	822	646
560	823	644
561	825	643
562	826	641
563	828	640
564	829	638
565	831	637
566	833	636
567	834	634
568	836	633
569	838	632
570	839	630
571	840	629
572	842	627
573	843	626
574	845	624
575	846	623
576	848	621
577	849	620
578	851	618
579	853	617
580	854	616
581	855	614
582	857	613
583	858	611
584	859	610
585	861	608
586	863	607
587	864	605
588	866	604
589	868	603
590	869	601
591	870	600
592	872	598
593	873	597
594	875	595
595	876	594
596	878	593
597	880	591
598	881	590
599	883	589
600	885	587
601	886	586
602	887	584
603	889	583
604	891	582
605	893	580
606	894	579
607	896	578
608	898	576
609	899	575
610	901	573
611	903	572
612	905	571
613	907	570
614	909	569
615	912	568
616	914	567
617	915	565
618	917	564
619	918	563
620	920	561
621	922	560
622	923	558
623	925	557
624	926	556
625	928	554
626	930	553
627	932	552
628	933	550
629	935	549
630	936	547
631	937	546
632	939	544
633	941	543
634	943	542
635	944	540
636	945	538
637	946	537
638	948	535
639	949	534
640	951	532
641	953	531
642	955	530
643	957	529
644	958	527
645	959	525
646	961	524
647	962	522
648	964	521
649	965	520
650	967	518
651	968	517
652	970	515
653	971	514
654	973	512
655	974	510
656	975	509
657	976	507
658	977	505
659	978	504
660	980	502
661	981	500
662	982	499
663	983	497
664	984	495
665	985	494
666	987	492
667	988	491
668	989	489
669	990	487
670	991	486
671	992	484
672	993	482
673	994	481
674	995	479
675	996	477
676	997	476
677	999	474
678	1000	472
679	1001	471
680	1003	469
681	1004	468
682	1005	466
683	1006	465
684	1008	463
685	1009	462
686	1010	460
687	1012	459
688	1013	457
689	1015	456
690	1016	454
691	1018	453
692	1019	451
693	1020	449
694	1021	448
695	1023	446
696	1024	445
697	1026	444
698	1027	442
699	1029	441
700	1030	439
701	1032	438
702	1033	436
703	1034	435
704	1035	433
705	1037	431
706	1038	430
707	1040	429
708	1042	427
709	1043	426
710	1045	425
711	1047	423
712	1049	422
713	1050	420
714	1052	419
715	1054	418
716	1056	416
717	1057	415
718	1058	413
719	1060	412
720	1062	411
721	1063	409
722	1064	407
723	1066	406
724	1067	404
725	1068	403
726	1069	401
727	1071	400
728	1073	399
729	1075	397
730	1076	396
731	1078	394
732	1080	393
733	1081	391
734	1082	390
735	1084	388
736	1085	387
737	1087	386
738	1089	384
739	1091	383
740	1093	382
741	1095	380
742	1096	379
743	1098	377
744	1099	376
745	1101	374
746	1102	373
747	1103	371
748	1105	370
749	1107	369
750	1108	367
751	1109	365
752	1110	364
753	1111	362
754	1112	361
755	1113	359
756	1114	357
757	1116	356
758	1117	354
759	1118	353
760	1119	351
761	1120	350
762	1121	348
763	1123	346
764	1124	345
765	1125	343
766	1126	342
767	1128	340
768	1129	339
769	1130	337
770	1132	336
771	1133	334
772	1134	333
773	1135	331
774	1137	330
775	1138	328
776	1140	327
777	1141	325
778	1142	324
779	1143	322
780	1144	320
781	1145	319
782	1146	317
783	1147	316
784	1148	314
785	1149	312
786	1150	311
787	1151	309
788	1153	308
789	1154	306
790	1155	305
791	1156	303
792	1157	302
793	1158	300
794	1159	298
795	1160	297
796	1160	295
797	1162	294
798	1163	292
799	1164	291
800	1165	289
801	1167	288
802	1168	286
803	1169	285
804	1170	283
805	1170	281
806	1171	280
807	1172	278
808	1173	277
809	1174	275
810	1175	273
811	1176	272
812	1177	270
813	1178	269
814	1180	267
815	1181	266
816	1183	265
817	1184	263
818	1185	261
819	1186	260
820	1187	258
821	1188	257
822	1189	255
823	1190	254
824	1191	252
825	1192	251
826	1193	249
827	1194	248
828	1196	246
829	1197	245
830	1198	243
831	1199	242
832	1200	240
833	1200	239
834	1201	237
835	1202	235
836	1203	234
837	1204	232
838	1205	231
839	1206	229
840	1207	228
841	1208	226
842	1209	225
843	1211	223
844	1212	222
845	1213	220
846	1214	219
847	1215	217
848	1216	216
849	1217	214
850	1218	213
851	1219	211
852	1220	210
853	1220	208
854	1222	207
855	1223	205
856	1224	204
857	1226	202
858	1227	201
859	1228	200
860	1229	198
861	1230	197
862	1231	195
863	1232	193
864	1233	192
865	1233	190
866	1234	189
867	1235	187
868	1236	186
869	1237	184
870	1239	183
871	1240	182
872	1242	180
873	1243	179
874	1244	177
875	1245	176
876	1246	174
877	1247	173
878	1248	171
879	1249	170
880	1250	168
881	1251	167
882	1252	165
883	1253	164
884	1255	163
885	1257	161
886	1258	160
887	1259	158
888	1260	157
889	1261	155
890	1261	154
891	1262	152
892	1263	151
893	1264	149
894	1264	148
895	1265	146
896	1266	145
897	1268	144
898	1270	142
899	1272	141
900	1273	139
901	1274	138
902	1275	137
903	1276	135
904	1277	134
905	1278	132
906	1278	131
907	1279	129
